"geneSymbol","disease_merge"
"GSTM1","Liver Cancer"
"GSTM1","Liver Diseases"
"GSTM1","Renal Cancer"
"GSTM1","Carcinoma"
"GSTM1","Atherosclerosis"
"GSTM1","Asthma"
"GSTM1","Mental Depression"
"GSTM1","Bladder Cancer"
"GSTM1","Prostate cancer"
"GSTM1","Degenerative Diseases Central Nervous System"
"GSTM1","Autistic Disorder"
"GSTM1","Leukemia"
"GSTM1","Schizophrenia"
"GSTM1","Colorectal Cancer"
"GSTM1","Diabetes Mellitus "
"GSTM1","Non-alcoholic Fatty Liver Disease"
"GSTM1","Dermatitis"
"GSTM1","Parkinson Disease"
"GSTM1","Bipolar Disorder"
"GSTM1","Mesothelioma"
"GSTM1","Urticaria"
"GSTM1","Raynaud Phenomenon"
"GSTM1","Chloracne"
"GSTM1","Hepatitis"
"GSTM1","Therapy-Associated Neoplasms"
"GSTM1","Raynaud Disease"
"GSTM3","Hepatitis"
"GSTM3","Liver Diseases"
"GSTM3","Colorectal Cancer"
"GSTM3","Prostate cancer"
"GSTM3","Chloracne"
"GSTP1","Prostate cancer"
"GSTP1","Tremor"
"GSTP1","Asthma"
"GSTP1","Carotid Artery Diseases"
"GSTP1","Non-alcoholic Fatty Liver Disease"
"GSTP1","Stomach Cancer"
"GSTP1","Schizophrenia"
"GSTP1","Moyamoya disease"
"GSTP1","Neuropathy"
"GSTP1","Glioma"
"GSTP1","Anaplastic Carcinoma"
"GSTP1","Liver Diseases"
"GSTP1","Lateral Sclerosis"
"GSTP1","Bladder Cancer"
"GSTP1","Hepatitis"
"GSTP1","Breast Cancer"
"GSTP1","Carotid Atherosclerosis"
"GSTP1","Myeloid Leukemia"
"GSTP1","Lung Cancer"
"GSTP1","Prostatic Intraepithelial Neoplasias"
"GSTP1","Gastric Cancer"
"GSTP1","Sarcoma"
"GSTP1","Renal Cancer"
"GSTP1","Psychosis"
"GSTP1","Lymphoma"
"GSTP1","Vestibular disorder"
"GSTP1","Non-organic psychosis"
"GSTP1","Carcinoma"
"GSTP1","Hodgkin Disease"
"GSTP1","Osteosarcoma"
"GSTP1","Liver Cancer"
"GSTP1","Hypertensive disease"
"GSTP1","Shared Paranoid Disorder"
"GSTP1","Ureteral Calculi"
"GSTP1","Myocardial Ischemia"
"GSTP1","Autistic Disorder"
"GSTP1","Dermatitis"
"GSTP1","Parkinson Disease"
"GSTP1","Acute Coronary Syndrome"
"GSTP1","Kidney Failure"
"GSTP1","Kidney Calculi"
"GSTP1","Kidney Insufficiency"
"GSTT1","Multiple Myeloma"
"GSTT1","Carcinoma"
"GSTT1","Glioblastoma"
"GSTT1","Renal Cancer"
"GSTT1","Mental Depression"
"GSTT1","Liver Diseases"
"GSTT1","Asthenozoospermia"
"GSTT1","Glioblastoma Multiforme"
"GSTT1","Lung Cancer"
"GSTT1","Raynaud Disease"
"GSTT1","Schizophrenia"
"GSTT1","Hepatitis"
"GSTT1","Skin Cancer"
"GSTT1","Prostate cancer"
"GSTT1","Pulmonary Fibrosis"
"GSTT1","Non-alcoholic Fatty Liver Disease"
"GSTT1","Hypertensive disease"
"GSTT1","Pulmonary asbestosis"
"GSTT1","Raynaud Phenomenon"
"GSTT1","Esophagus Neoplasm"
"GSTT1","Bipolar Disorder"
"GSTT1","Anaplastic Carcinoma"
"GYS2","Glycogen Storage Disease"
"GZMB","Vitiligo"
"GZMB","Hepatitis"
"GZMB","Breast Cancer"
"GZMB","Autistic Disorder"
"H6PD","Cortisone reductase deficiency"
"HAMP","Hemochromatosis"
"HAMP","Anemia"
"HAMP","Kidney Failure"
"HAMP","Thalassemia"
"HAMP","Wilson Disease"
"HAMP","Biliary Atresia"
"HAMP","Iron Overload"
"HAMP","Renal Cancer"
"HAMP","Hemoglobin F Disease"
"HAPLN1","Colorectal Cancer"
"HAPLN1","Rheumatoid Arthritis"
"HAPLN1","Limb Deformities"
"HAPLN1","Dwarfism"
"HDAC3","Schizophrenia"
"HDAC3","Heart Diseases"
"HFE","Alzheimer Disease"
"HFE","Senile Dementia"
"HFE","Hemochromatosis"
"HFE","Hepatitis C"
"HFE","Myelodysplastic Syndrome"
"HFE","Hypertensive disease"
"HFE","Schizophrenia"
"HFE","Parkinson Disease"
"HFE","Autistic Disorder"
"HFE","Hypercholesterolemia"
"HFE","Schizoaffective Disorder"
"HIF1A","Ductal Carcinoma"
"HIF1A","Astrocytoma"
"HIF1A","Multiple Hemangioblastomas"
"HIF1A","Hypertensive disease"
"HIF1A","Erythrocytosis"
"HIF1A","Breast Cancer"
"HIF1A","Ischemic Encephalopathy"
"HIF1A","Glioblastoma"
"HIF1A","Pulmonary Fibrosis"
"HIF1A","Grade I Astrocytoma"
"HIF1A","Thyroid Cancer"
"HIF1A","Childhood Cerebral Astrocytoma"
"HIF1A","Prostate cancer"
"HIF1A","Pancreatic Neoplasm"
"HIF1A","Cholangitis"
"HIF1A","Diabetes Mellitus"
"HIF1A","Cerebral Ischemia"
"HIF1A","Heart Failure"
"HIF1A","Glioblastoma Multiforme"
"HIF1A","Myocardial Failure"
"HIF1A","Skin Cancer"
"HIF1A","Oligoastrocytoma"
"HIF1A","Intraductal Carcinoma"
"HIF1A","Bipolar Disorder"
"HIF1A","Esophagus Neoplasm"
"HIF1A","Anaplasia"
"HIF1A","Breast Hyperplasia"
"HIF1A","Mood Disorders"
"HIF1A","Biliary Cirrhosis"
"HIF1A","Hemangioblastoma"
"HIF1A","Intracranial Astrocytoma"
"HIF1A","Mental Depression"
"HIF1A","Anaplastic Carcinoma"
"HIF1A","Carcinoma"
"HIF1A","Cerebral Astrocytoma"
"HIF1A","Cardiovascular Abnormalities"
"HLA-A","Diabetes Mellitus "
"HLA-A","Hepatitis"
"HLA-A","Liver Diseases"
"HLA-A","Glioma"
"HLA-A","Erythroderma"
"HLA-A","Schizophrenia"
"HLA-A","Parapsoriasis"
"HLA-A","Parakeratosis Variegata"
"HLA-A","Autistic Disorder"
"HLA-A","Multiple Myeloma"
"HLA-A","Paranoia"
"HLA-A","Meniere Disease"
"HLA-DQA1","Lung Cancer"
"HLA-DQA1","Carcinoma"
"HLA-DQA1","Diabetes Mellitus "
"HLA-DQA1","Oropharyngeal Cancer"
"HLA-DQA1","Glomerulonephritis"
"HLA-DQA1","Rheumatoid Arthritis"
"HLA-DQA1","Autoimmune Diabetes"
"HLA-DQA1","Autoimmune Hepatitis"
"HLA-DQA1","Asthma"
"HLA-DQA1","Pancreatitis"
"HLA-DQA1","Celiac Disease"
"HLA-DQA1","Sarcoidosis"
"HLA-DQA1","Narcolepsy"
"HLA-DQA1","Eosinophilia-Myalgia Syndrome"
"HLA-DQA1","Schizophrenia"
"HLA-DQA1","Lupus Erythematosus"
"HLA-DQA1","Inflammatory Bowel Diseases"
"HLA-DQA1","Megaesophagus"
"HLA-DQA1","Libman-Sacks Disease"
"HLA-DQA1","Meniere Disease"
"HLA-DQA1","Ketosis-prone diabetes"
"HLA-DQA1","Leukemia"
"HLA-DQA1","Liver Cancer"
"HLA-DQA1","Multiple Sclerosis"
"HLA-DQA1","Dermatitis"
"HLA-DQA1","Vitiligo"
"HLA-DQA1","Esophageal Achalasia"
"HLA-DQA1","Brittle diabetes"
"HLA-DRB1","Eosinophilia-Myalgia Syndrome"
"HLA-DRB1","Lymphoma"
"HLA-DRB1","Sarcoidosis"
"HLA-DRB1","Ketosis-prone diabetes"
"HLA-DRB1","Multiple Sclerosis"
"HLA-DRB1","Meniere Disease"
"HLA-DRB1","Liver Diseases"
"HLA-DRB1","Autistic Disorder"
"HLA-DRB1","Colitis"
"HLA-DRB1","Rheumatoid Arthritis"
"HLA-DRB1","Cerebrovascular Disorders"
"HLA-DRB1","Narcolepsy"
"HLA-DRB1","Schizophrenia"
"HLA-DRB1","Brittle diabetes"
"HLA-DRB1","Oropharyngeal Cancer"
"HLA-DRB1","Glomerulonephritis"
"HLA-DRB1","Autoimmune Diabetes"
"HLA-DRB1","Diabetes Mellitus "
"HLA-DRB1","Bipolar Disorder"
"HLA-DRB1","Nephrotic Syndrome"
"HLA-DRB1","Hepatitis"
"HLA-DRB1","Asthma"
"HLA-DRB1","Reticulosarcoma"
"HLA-DRB1","Pancreatitis"
"HLA-DRB1","Crohn Disease"
"HLA-DRB1","Urticaria"
"HLA-DRB1","Beryllium Disease"
"HLA-DRB1","Lupus Erythematosus"
"HLA-DRB1","Libman-Sacks Disease"
"HLA-DRB1","Enteritis"
"HMGA2","Diabetes Mellitus "
"HMGA2","Lipoma"
"HMGA2","Russell-Silver syndrome"
"HMGB1","Leukostasis"
"HMGB1","Esophagus Neoplasm"
"HMGB1","Liver Diseases"
"HMGB1","Neuropathy"
"HMGB1","Myocardial Ischemia"
"HMGB1","Myocardial Infarction"
"HMGB1","Neuralgia"
"HMGB1","Pulmonary Fibrosis"
"HMGB1","Cholestasis"
"HMGB1","Hepatitis"
"HMGB2","Obesity"
"HMGB2","Liver Cancer"
"HMGB2","Lung Cancer"
"HMGCR","Lung Cancer"
"HMGCR","Kidney Failure"
"HMGCR","Autoimmune Diseases"
"HMGCR","Hypercholesterolemia"
"HMGCR","Coronary heart disease"
"HMGCR","Myopathy"
"HMGCR","Liver Cancer"
"HMOX1","Degenerative Diseases Central Nervous System"
"HMOX1","Alzheimer Disease"
"HMOX1","Diabetes Mellitus "
"HMOX1","Pneumonia"
"HMOX1","Obesity"
"HMOX1","Status Epilepticus"
"HMOX1","Retinal Diseases"
"HMOX1","Dermatitis"
"HMOX1","Gastric Cancer"
"HMOX1","Stomach Cancer"
"HMOX1","Carotid Atherosclerosis"
"HMOX1","Hypertensive disease"
"HMOX1","Liver Diseases"
"HMOX1","Prostate cancer"
"HMOX1","Hepatorenal Syndrome"
"HMOX1","Hyperinsulinism"
"HMOX1","Gastroparesis"
"HMOX1","Asthma"
"HMOX1","Lung Cancer"
"HMOX1","Learning Disorders"
"HMOX1","Heart Failure"
"HMOX1","Senile Dementia"
"HMOX1","Pulmonary Emphysema"
"HMOX1","Colitis"
"HMOX1","Breast Cancer"
"HMOX1","Pulmonary Fibrosis"
"HMOX1","Petit mal status"
"HMOX1","Anemia"
"HMOX1","Emphysema"
"HMOX1","Kidney Failure"
"HMOX1","Diabetic Cardiomyopathies"
"HMOX1","Myocardial Ischemia"
"HMOX1","Liver Cancer"
"HMOX1","Carotid Artery Diseases"
"HMOX1","Moyamoya disease"
"HMOX1","Spinocerebellar ataxia"
"HMOX1","Kidney Insufficiency"
"HMOX1","Arteriosclerosis"
"HMOX1","Pancreatic Diseases"
"HMOX1","Schizophrenia"
"HMOX1","Hepatitis"
"HMOX1","Parkinson Disease"
"HMOX1","Chronic Lung Injury"
"HMOX1","Myocardial Failure"
"HMOX1","Iron Metabolism Disorders"
"HMOX1","Adrenoleukodystrophy"
"HMOX1","Mastocytosis"
"HMOX1","Blood Coagulation Disorders"
"HMOX1","Adrenomyeloneuropathy"
"HNF1A","Diabetes Insipidus "
"HNF1A","Diabetes Mellitus "
"HNF1A","Hypoglycemia"
"HNF1A","Coronary heart disease"
"HNF1A","Monogenic Diabetes"
"HNF1A","Pancreatic Neoplasm"
"HNF1A","Arteriosclerosis"
"HNF1A","Ischemic Cardiomyopathy"
"HNF1A","Myocardial Infarction"
"HNF1A","Hyperinsulinism"
"HOXA10","Endometrial Cancer"
"HOXA10","Adenocarcinoma"
"HOXA10","Carcinoma"
"HOXA10","Cribriform Carcinoma"
"HOXA10","Female Urogenital Diseases"
"HP","Breast Cancer"
"HP","Mental Depression"
"HP","Arthritis"
"HP","Pregnancy associated hypertension"
"HP","HIV Infections"
"HP","Leukemia"
"HP","Hemochromatosis"
"HP","Anemia"
"HP","Retinal Pigment Epithelial Detachment"
"HP","Myocardial Infarction"
"HP","Mood Disorders"
"HP","Anhaptoglobinemia"
"HP","Schizophrenia"
"HP","Sickle Cell Anemia"
"HP","Atherosclerosis"
"HP","Psychosis"
"HP","Diabetes Mellitus "
"HP","Autoimmune Diseases"
"HP","Retinal Detachment"
"HP","HIV Coinfection"
"HP","Dyslipidemias"
"HP","Genital Neoplasms, Female"
"HP","Kidney Insufficiency"
"HP","Hepatitis C"
"HP","Hepatitis B"
"HP","Diabetic Cardiomyopathies"
"HP","Autoimmune Diabetes"
"HP","Kidney Failure"
"HP","Hypertensive disease"
"HP","Brittle diabetes"
"HP","Ketosis-prone diabetes"
"HSD11B1","Hyperglycemia"
"HSD11B1","Obesity"
"HSD11B1","Cortisone reductase deficiency"
"HSD11B1","Hypertensive disease"
"HSD11B1","Dermatitis"
"HSD11B1","Mental Depression"
"HSD11B1","Rheumatoid Arthritis"
"HSD3B1","Prostate cancer"
"HSD3B1","Ovarian Cancer"
"HSD3B2","Cryptorchidism"
"HSD3B2","3 beta-Hydroxysteroid dehydrogenase deficiency"
"HSD3B2","Liver Cancer"
"HSD3B2","Congenital adrenal hyperplasia"
"HSD3B2","Prostate cancer"
"HSD3B2","Paranoia"
"HSD3B2","Hypospadias"
"HSD3B2","Ovarian Cancer"
"HSD3B7","Bile acid synthesis defect"
"HSD3B7","Cholestasis"
"HSD3BP4","Narcolepsy"
"HSP90B1","Prostate cancer"
"HSP90B1","Bipolar Disorder"
"HSPA5","Obesity"
"HSPA5","Pulmonary asbestosis"
"HSPA5","Esophagus Neoplasm"
"HSPA5","Hematopoietic Neoplasms"
"HSPA5","Myeloid Leukemia"
"HSPA5","Myocardial Infarction"
"HSPA5","Spinocerebellar ataxia"
"HSPA5","Bipolar Disorder"
"HSPA5","Pulmonary Fibrosis"
"HSPA5","Hematologic Neoplasms"
"HSPA5","Liver Cancer"
"HSPA6","Juvenile arthritis"
"HSPA6","Still Disease"
"HSPB1","Carcinoma"
"HSPB1","Charcot-Marie-Tooth Disease"
"HSPB1","Multiple Myeloma"
"HSPB1","Status Epilepticus"
"HSPB1","Colonic Neoplasms"
"HSPB1","Heart Failure"
"HSPB1","Genetic Diseases"
"HSPB1","Neuronopathy, Distal Hereditary Motor, Type Iib"
"HSPB1","Mouth Neoplasms"
"HSPB1","Lung Cancer"
"HSPB1","Muscular Dystrophy"
"HSPB1","HIV Infections"
"HSPB1","Stomach Cancer"
"HSPB1","Dermatitis"
"HSPB1","Cardiomyopathy"
"HSPB1","HIV Coinfection"
"HSPB1","Liver Cancer"
"HSPB1","Myocardial Failure"
"HSPB1","Renal Cancer"
"HSPB1","Leukemia"
"HSPB1","Petit mal status"
"HSPB1","Myeloid Leukemia"
"HSPB1","Gastric Cancer"
"HSPE1","Cardiomyopathy"
"HSPE1","Myocardial Diseases"
"HTR2C","Mental Depression"
"HTR2C","Mood Disorders"
"HTR2C","Obesity"
"HTR2C","Schizophrenia"
"HTR2C","Metabolic Syndrome X"
"HTR2C","Neuralgia"
"HTR2C","Seasonal Affective Disorder"
"HTR2C","Bipolar Disorder"
"IAPP","Gastric ulcer"
"IAPP","Diabetes Mellitus "
"ICAM1","Bronchiectasis"
"ICAM1","Cerebral Ischemia"
"ICAM1","Nephrosis"
"ICAM1","Colonic Neoplasms"
"ICAM1","Retinal Diseases"
"ICAM1","Cerebral Artery Infarction"
"ICAM1","Pleuritis"
"ICAM1","Multiple Sclerosis"
"ICAM1","Middle Cerebral Artery Syndrome"
"ICAM1","Diabetes Mellitus "
"ICAM1","Leukostasis"
"ICAM1","Neuropathy"
"ICAM1","Mouth Neoplasms"
"ICAM1","Atherosclerosis"
"ICAM1","Myocardial Infarction"
"ICAM1","Cerebral Thrombosis"
"ICAM1","Inflammatory Bowel Diseases"
"ICAM1","Colitis"
"ICAM1","Hypertensive disease"
"ICAM1","Urticaria"
"ICAM1","Myocardial Ischemia"
"ICAM1","Bronchial hyperreactivity"
"ICAM1","Asthma"
"ICAM1","Meniere Disease"
"ICAM1","Diabetic Retinopathy"
"ICAM1","Prostate cancer"
"ICAM1","Brain Infarction"
"ICAM1","Schizophrenia"
"ICAM1","Stroke"
"ICAM1","Hypercholesterolemia"
"ICAM1","Uremia"
"ICAM1","Behcet Syndrome"
"ICAM1","Obesity"
"ICAM1","Cholestasis"
"IDE","Senile Dementia"
"IDE","Diabetes Mellitus "
"IDE","Alzheimer Disease"
"IDE","Lateral Sclerosis"
"IDE","Schizophrenia"
"IFNG","Crohn Disease"
"IFNG","Mood Disorders"
"IFNG","Diastematomyelia"
"IFNG","Bipolar Disorder"
"IFNG","Hepatitis B"
"IFNG","Anemia"
"IFNG","Heart Failure"
"IFNG","Bronchiolitis Obliterans"
"IFNG","Leishmaniasis"
"IFNG","Bronchiolitis"
"IFNG","Glomerulonephritis"
"IFNG","Dermatitis"
"IFNG","Liver Diseases"
"IFNG","Hepatitis"
"IFNG","Meniere Disease"
"IFNG","Breast Cancer"
"IFNG","Anencephaly"
"IFNG","Schizophrenia"
"IFNG","Autoimmune Diseases"
"IFNG","Graft-vs-Host Disease"
"IFNG","Neural Tube Defects"
"IFNG","Leukoencephalopathies"
"IFNG","Pneumonia"
"IFNG","Stevens-Johnson Syndrome"
"IFNG","Atherosclerosis"
"IFNG","Kidney Insufficiency"
"IFNG","Autistic Disorder"
"IFNG","Hyperimmunoglobulin E syndrome"
"IFNG","Colonic Neoplasms"
"IFNG","Tuberous Sclerosis"
"IFNG","Brittle diabetes"
"IFNG","Kidney Failure"
"IFNG","Status Dysraphicus"
"IFNG","Lung Cancer"
"IFNG","Leukemia"
"IFNG","Sarcoma"
"IFNG","HIV Coinfection"
"IFNG","Arthritis"
"IFNG","Multiple Sclerosis"
"IFNG","Mesothelioma"
"IFNG","Primary tethered cord syndrome"
"IFNG","Eyelid Diseases"
"IFNG","Ketosis-prone diabetes"
"IFNG","Peritonitis"
"IFNG","Nephritis"
"IFNG","HIV Infections"
"IFNG","Diabetes Mellitus "
"IFNG","Oral submucosal fibrosis"
"IFNG","Cardiac Arrest"
"IFNG","Adrenoleukodystrophy"
"IFNG","Appendicitis"
"IFNG","Mental Depression"
"IFNG","Autoimmune Hepatitis"
"IFNG","Eczema"
"IFNG","Pleural Diseases"
"IFNG","Lymphoproliferative Disorder"
"IFNG","AIDS"
"IFNG","Autoimmune Diabetes"
"IFNG","Adrenomyeloneuropathy"
"IFNG","Neurenteric Cyst"
"IFNG","Rheumatoid Arthritis"
"IFNG","Colitis"
"IFNG","Pontiac Fever"
"IFNG","Enteritis"
"IFNG","Myocardial Failure"
"IGF1","Prostate cancer"
"IGF1","Bipolar Disorder"
"IGF1","Crohn Disease"
"IGF1","Mental Depression"
"IGF1","Precocious Puberty"
"IGF1","Breast Cancer"
"IGF1","Brain Infarction"
"IGF1","Ketosis-prone diabetes"
"IGF1","Female Urogenital Diseases"
"IGF1","Delirium"
"IGF1","Acromegaly"
"IGF1","Cerebral Artery Infarction"
"IGF1","Kidney Insufficiency"
"IGF1","Kidney Failure"
"IGF1","Alzheimer Disease"
"IGF1","Hypertensive disease"
"IGF1","Autistic Disorder"
"IGF1","Bladder Cancer"
"IGF1","Neuropathy"
"IGF1","Liver Diseases"
"IGF1","Demyelinating Diseases"
"IGF1","Cholestasis"
"IGF1","Pulmonary Fibrosis"
"IGF1","Adenoma"
"IGF1","Corneal Diseases"
"IGF1","Middle Cerebral Artery Syndrome"
"IGF1","Skin Cancer"
"IGF1","Autoimmune Diabetes"
"IGF1","Diabetic Cardiomyopathies"
"IGF1","Pituitary Neoplasms"
"IGF1","Endometriosis"
"IGF1","Cerebral Thrombosis"
"IGF1","Hepatitis"
"IGF1","Endometrioma"
"IGF1","Osteopenia"
"IGF1","Insulin-Like Growth Factor I Deficiency"
"IGF1","Diabetes Mellitus "
"IGF1","Colitis"
"IGF1","Senile Dementia"
"IGF1","Enteritis"
"IGF1","Microcephaly"
"IGF1","Myocardial Ischemia"
"IGF1","Brittle diabetes"
"IGF1","Russell-Silver syndrome"
"IGF1","Metabolic Bone Disorder"
"IGF1R","Congenital diaphragmatic hernia"
"IGF1R","Breast Cancer"
"IGF1R","Juvenile arthritis"
"IGF1R","Endometriosis"
"IGF1R","Skin Cancer"
"IGF1R","Neuropathy"
"IGF1R","Microcephaly"
"IGF1R","Liver Cancer"
"IGF1R","Russell-Silver syndrome"
"IGF1R","Resistance to Insulin-Like Growth Factor I"
"IGF1R","Lewy Body Disease"
"IGF1R","Senile Dementia"
"IGF1R","Endometrial Cancer"
"IGF1R","Respiratory Failure"
"IGF1R","Still Disease"
"IGF1R","Alzheimer Disease"
"IGF1R","Adrenal Cancer"
"IGF1R","Parkinson Disease"
"IGF2","Diabetes Mellitus "
"IGF2","Autoimmune Diseases"
"IGF2","Nephroblastoma"
"IGF2","Beckwith-Wiedemann Syndrome"
"IGF2","Anemia"
"IGF2","Bone Diseases"
"IGF2","Autistic Disorder"
"IGF2","Liver Cancer"
"IGF2","Colorectal Cancer"
"IGF2","Russell-Silver syndrome"
"IGF2","Colonic Neoplasms"
"IGF2","Memory Disorders"
"IGF2","Atherosclerosis"
"IGF2","Alzheimer Disease"
"IGF2","Still Disease"
"IGF2","Parkinson Disease"
"IGF2","Rhabdomyoma"
"IGF2","Juvenile arthritis"
"IGF2","Lewy Body Disease"
"IGF2","Hepatoblastoma"
"IGF2","Senile Dementia"
"IGF2","Hypoglycemia"
"IGF2","Spondylitis"
"IGF2","Psoriasis"
"IGF2","Dwarfism"
"IGF2","Colitis"
"IGF2","Schizophrenia"
"IGF2","Cognition Disorders"
"IGF2","Multiple Sclerosis"
"IGF2","Common Variable Immunodeficiency"
"IGF2","Adrenal Cancer"
"IGF2","Obesity"
"IGF2","Lupus Erythematosus"
"IGF2","Celiac Disease"
"IGF2","Bilateral Wilms Tumor"
"IGF2","Crohn Disease"
"IGF2R","Lewy Body Disease"
"IGF2R","Alzheimer Disease"
"IGF2R","Congenital diaphragmatic hernia"
"IGF2R","Prostate cancer"
"IGF2R","Liver Cancer"
"IGF2R","Senile Dementia"
"IGF2R","Parkinson Disease"
"IGF2R","Arteriosclerosis"
"IGFBP1","Endometriosis"
"IGFBP1","Biliary Cirrhosis"
"IGFBP1","Endometrioma"
"IGFBP1","Kidney Failure"
"IGFBP1","Liver Fibrosis"
"IGFBP1","Colonic Neoplasms"
"IGFBP1","Kidney Insufficiency"
"IGFBP1","Liver Cirrhosis"
"IGFBP1","Russell-Silver syndrome"
"IGFBP2","Bipolar Disorder"
"IGFBP2","Salivary Gland Neoplasms"
"IGFBP2","Liver Cirrhosis"
"IGFBP2","Adenoid Cystic Carcinoma"
"IGFBP2","Dermatitis"
"IGFBP2","Liver Fibrosis"
"IGFBP2","Obesity"
"IGFBP3","Bladder Cancer"
"IGFBP3","Prostate cancer"
"IGFBP3","Colorectal Cancer"
"IGFBP3","Gastric Cancer"
"IGFBP3","Rheumatoid Arthritis"
"IGFBP3","Autistic Disorder"
"IGFBP3","Stomach Cancer"
"IGFBP3","Russell-Silver syndrome"
"IGFBP3","Carcinoma"
"IGFBP3","Myocardial Ischemia"
"IL10","Crohn Disease"
"IL10","Schizophrenia"
"IL10","Colitis"
"IL10","Mental Depression"
"IL10","Lupus Erythematosus"
"IL10","Kidney Failure"
"IL10","Leishmaniasis"
"IL10","Kidney Insufficiency"
"IL10","Lung Cancer"
"IL10","Prostate cancer"
"IL10","Inflammatory Bowel Diseases"
"IL10","Chronic Prostatitis with Chronic Pelvic Pain Syndrome"
"IL10","Appendicitis"
"IL10","Pleuritis"
"IL10","Eczema"
"IL10","Behcet Syndrome"
"IL10","Brittle diabetes"
"IL10","Libman-Sacks Disease"
"IL10","HIV Infections"
"IL10","Multiple Sclerosis"
"IL10","Myocardial Infarction"
"IL10","Dermatitis"
"IL10","Enteritis"
"IL10","Irritable Bowel Syndrome"
"IL10","Nephritis"
"IL10","Rheumatoid Arthritis"
"IL10","Autistic Disorder"
"IL10","Psoriasis"
"IL10","Diabetes Mellitus "
"IL10","Wilson Disease"
"IL10","Meniere Disease"
"IL10","prostatitis"
"IL10","Spondylitis"
"IL10","Ketosis-prone diabetes"
"IL10","Glomerulonephritis"
"IL10","HIV Coinfection"
"IL10","Cholangitis"
"IL10","Autoimmune Hepatitis"
"IL10","Leukemia"
"IL10","Asymptomatic Inflammatory Prostatitis"
"IL10","Autoimmune Diabetes"
"IL10","Enterocolitis"
"IL10","Bacterial Prostatitis"
"IL12A","Sicca Syndrome"
"IL12A","Multiple Sclerosis"
"IL12A","Liver Cancer"
"IL12A","Glioma"
"IL12A","Biliary Cirrhosis"
"IL17A","Cerebral Ischemia"
"IL17A","Liver Diseases"
"IL17A","Lymphoproliferative Disorder"
"IL17A","Graft-vs-Host Disease"
"IL17A","Leukemia"
"IL17A","Hepatitis"
"IL17A","Multiple Sclerosis"
"IL17A","Pneumonia"
"IL17A","Autoimmune Diseases"
"IL17A","Colitis"
"IL17A","CNS disorder"
"IL18","Sarcoidosis"
"IL18","Mouth Neoplasms"
"IL18","Prostate cancer"
"IL18","Meniere Disease"
"IL18","Tumoral calcinosis"
"IL18","Autoimmune Hepatitis"
"IL18","Mental Depression"
"IL18","Pneumonia"
"IL18","Rheumatoid Arthritis"
"IL18","Cerebral Ischemia"
"IL18","Liver Diseases"
"IL18","Urticaria"
"IL18","Heart Diseases"
"IL18","Glomerulonephritis"
"IL18","Leishmaniasis"
"IL18","Schizophrenia"
"IL18","Dermatitis"
"IL18","Hepatitis"
"IL18","Nephritis"
"IL18","Metabolic Syndrome X"
"IL1A","Mental Depression"
"IL1A","Luft Disease"
"IL1A","Dermatomyositis"
"IL1A","Liver Diseases"
"IL1A","Kearns-Sayre syndrome"
"IL1A","Schizophrenia"
"IL1A","Arsenic Encephalopathy"
"IL1A","Myopathy"
"IL1A","HIV Wasting Syndrome"
"IL1A","Infection of amniotic cavity"
"IL1A","MERRF Syndrome"
"IL1A","Polymyositis"
"IL1A","Amnesia"
"IL1A","Hemolytic-Uremic Syndrome"
"IL1A","Chondrosarcoma"
"IL1A","Myocardial Diseases"
"IL1A","Skin Cancer"
"IL1A","MELAS Syndrome"
"IL1A","Cardiomyopathy"
"IL1A","Cerebral Ischemia"
"IL1A","Dermatitis"
"IL1A","Non-alcoholic Fatty Liver Disease"
"IL1A","Anthracosis"
"IL1A","Head Neoplasms"
"IL1A","Meniere Disease"
"IL1A","Funisitis"
"IL1A","Myocardial Ischemia"
"IL1A","Leber optic atrophy"
"IL1A","Lung Cancer"
"IL1A","Hepatitis"
"IL1B","HIV Wasting Syndrome"
"IL1B","Myocardial Ischemia"
"IL1B","Breast Cancer"
"IL1B","Cerebral Ischemia"
"IL1B","Adenocarcinoma"
"IL1B","Colonic Neoplasms"
"IL1B","Mental Depression"
"IL1B","Pleuritis"
"IL1B","Liver Diseases"
"IL1B","Pneumonia"
"IL1B","Multiple Sclerosis"
"IL1B","Arsenic Encephalopathy"
"IL1B","Brain Infarction"
"IL1B","Silicosis"
"IL1B","Heart Failure"
"IL1B","Asthma"
"IL1B","Hypoglycemia"
"IL1B","Hemolytic-Uremic Syndrome"
"IL1B","Hepatitis"
"IL1B","Myopathy"
"IL1B","Colitis"
"IL1B","Dermatitis"
"IL1B","Cholestasis"
"IL1B","Rheumatoid Arthritis"
"IL1B","Myocardial Infarction"
"IL1B","Middle Cerebral Artery Syndrome"
"IL1B","Leishmaniasis"
"IL1B","Heart Diseases"
"IL1B","Dermatomyositis"
"IL1B","Bronchopulmonary Dysplasia"
"IL1B","Polymyositis"
"IL1B","Stomach Cancer"
"IL1B","Memory Disorders"
"IL1B","Seizures"
"IL1B","Leukocytosis"
"IL1B","Osteoarthrosis Deformans"
"IL1B","Gout"
"IL1B","Glioblastoma Multiforme"
"IL1B","Myocardial Failure"
"IL1B","Jacksonian Seizure"
"IL1B","Pulmonary Fibrosis"
"IL1B","Lung Cancer"
"IL1B","Cerebral Artery Infarction"
"IL1B","MERRF Syndrome"
"IL1B","Schizophrenia"
"IL1B","Thyroid Cancer"
